Город;Регион;Федеральный округ;lat;lng
Абдулино;Оренбургская область;Приволжский;53,677839;53,647263
Бугуруслан;Оренбургская область;Приволжский;53,6523;52,432606
Бузулук;Оренбургская область;Приволжский;52,788116;52,262438
Кувандык;Оренбургская область;Приволжский;51,478483;57,361168
Медногорск;Оренбургская область;Приволжский;51,403794;57,58324
Новотроицк;Оренбургская область;Приволжский;51,196417;58,301767
Оренбург;Оренбургская область;Приволжский;51,768199;55,096955
Орск;Оренбургская область;Приволжский;51,229362;58,475196
Соль-Илецк;Оренбургская область;Приволжский;51,16185;54,980336
Сорочинск;Оренбургская область;Приволжский;52,429092;53,151016
Ясный;Оренбургская область;Приволжский;51,036877;59,874349
